ripartizione_geografica;codice_regione;denominazione_regione;tipologia_regione;numero_province;numero_comuni;superficie_kmq
Nord-ovest;01;Piemonte;"statuto ordinario";8;1180;25386,6971
Nord-ovest;02;"Valle d'Aosta/Vallée d'Aoste";"statuto speciale";1;74;3260,8545
Nord-ovest;03;Lombardia;"statuto ordinario";12;1502;23854,3405
Nord-est;04;"Trentino-Alto Adige/Südtirol";"statuto speciale";2;282;13604,7211
Nord-est;05;Veneto;"statuto ordinario";7;560;18345,3694
Nord-est;06;"Friuli-Venezia Giulia";"statuto speciale";4;215;7932,4822
Nord-ovest;07;Liguria;"statuto ordinario";4;234;5416,1520
Nord-est;08;Emilia-Romagna;"statuto ordinario";9;330;22501,4320
Centro;09;Toscana;"statuto ordinario";10;273;22987,4371
Centro;10;Umbria;"statuto ordinario";2;92;8464,2234
Centro;11;Marche;"statuto ordinario";5;225;9344,2939
Centro;12;Lazio;"statuto ordinario";5;378;17231,7228
Sud;13;Abruzzo;"statuto ordinario";4;305;10831,4964
Sud;14;Molise;"statuto ordinario";2;136;4460,4373
Sud;15;Campania;"statuto ordinario";5;550;13670,5980
Sud;16;Puglia;"statuto ordinario";6;257;19540,5182
Sud;17;Basilicata;"statuto ordinario";2;131;10073,1105
Sud;18;Calabria;"statuto ordinario";5;404;15221,6149
Isole;19;Sicilia;"statuto speciale";9;391;25832,5453
Isole;20;Sardegna;"statuto speciale";9;377;24099,4529
